UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,REGION_NATURAL,TIPO_MUNI,CLASIFICACION,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,GPC_MUN
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SELVA,PROVINCIAL,Selva con Población urbana entre 10 mil y 50 mil habitantes,37870.0,37125.0,745.0,0.51,0.7285714285714286
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,281.0,147.0,134.0,0.5413538747534213,0.7733626782191734
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1202.0,336.0,866.0,0.437675332039757,0.62525047434251
010104,AMAZONAS,CHACHAPOYAS,CHETO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,696.0,467.0,229.0,0.437675332039757,0.6252504743425099
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,604.0,178.0,426.0,0.437675332039757,0.6252504743425101
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1955.0,521.0,1434.0,0.437675332039757,0.62525047434251
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,532.0,183.0,349.0,0.5413538747534213,0.7733626782191734
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1395.0,1338.0,57.0,0.4839367527862208,0.6913382182660298
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,4080.0,2312.0,1768.0,0.5413538747534213,0.7733626782191735
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,3845.0,2859.0,986.0,0.68,0.9714285714285715
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,817.0,449.0,368.0,0.437675332039757,0.62525047434251
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,913.0,731.0,182.0,0.5413538747534213,0.7733626782191734
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,1507.0,1036.0,471.0,0.47561988783608683,0.6794569826229814
