UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,REGION_NATURAL,TIPO_MUNI,CLASIFICACION,POB_TOTAL_2022,POB_URBANA_2022,POB_RURAL_2022,GPC_DOM_2022,GENERACION_NO_DOM_T_DIA_2022,GENERACION_DOM_T_ANIO_2022
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SELVA,PROVINCIAL,Selva con Población urbana entre 10 mil y 50 mil habitantes,40274,39322,952,0.39,15.33558,5597.4867
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,276,132,144,0.5188473382439173,0.06848784864819707,24.99806475659193
010103,AMAZONAS,CHACHAPOYAS,BALSAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1158,281,877,0.4452923055521492,0.12512713786015392,45.67140531895618
010104,AMAZONAS,CHACHAPOYAS,CHETO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,707,444,263,0.4452923055521492,0.19770978366515424,72.1640710377813
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,575,148,427,0.4452923055521492,0.06590326122171808,24.0546903459271
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1910,443,1467,0.4452923055521492,0.19726449135960208,72.00153934625476
010107,AMAZONAS,CHACHAPOYAS,GRANADA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,543,164,379,0.5188473382439173,0.08509096347200243,31.058201667280887
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1500,1428,72,0.4839367527862208,0.6910616829787233,252.237514287234
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,3697,1922,1775,0.5188473382439173,0.997224584104809,363.98697319825527
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,3781,2672,1109,0.27,0.7214400000000001,263.3256
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,789,397,392,0.4452923055521492,0.17678104530420324,64.52508153603418
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,906,697,209,0.5188473382439173,0.3616365947560103,131.99735708594375
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,1586,1025,561,0.47561988783608683,0.487510385031989,177.94129053667598
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,2235,535,1700,0.4452923055521492,0.23823138347039982,86.95445496669593
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,472,426,46,0.4458122266763847,0.18991600856413987,69.31934312591105
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,441,127,314,0.5188473382439173,0.06589361195697749,24.05116836429678
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,778,77,701,0.5188473382439173,0.039951245044781626,14.582204441345294
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,326,227,99,0.41,0.09307,33.97055
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,581,392,189,0.4,0.15680000000000002,57.232000000000006
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,1243,180,1063,0.5188473382439173,0.09339252088390511,34.08827012262537
010121,AMAZONAS,CHACHAPOYAS,SONCHE,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,280,97,183,0.5188473382439173,0.05032819180965998,18.369790010525893
010201,AMAZONAS,BAGUA,BAGUA,SELVA,PROVINCIAL,Selva con Población urbana entre 10 mil y 50 mil habitantes,30479,27620,2859,0.54,6.67717,
010202,AMAZONAS,BAGUA,ARAMANGO,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,9919,2685,7234,0.8,2.148,784.0200000000001
010203,AMAZONAS,BAGUA,COPALLIN,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,4452,2158,2294,0.45,0.9711000000000001,354.4515
010204,AMAZONAS,BAGUA,EL PARCO,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,1273,646,627,0.54,0.34884000000000004,127.32660000000001
010205,AMAZONAS,BAGUA,IMAZA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,33338,5781,27557,0.53,3.0639300000000005,1118.3344500000003
010206,AMAZONAS,BAGUA,LA PECA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,6374,3871,2503,0.37,1.43227,522.77855
010301,AMAZONAS,BONGARA,JUMBILLA,SELVA,PROVINCIAL,Selva con Población urbana de hasta 10 mil habitantes,1283,1046,237,0.5188473382439173,0.5427143158031374,198.09072526814518
010302,AMAZONAS,BONGARA,CHISQUILLA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,313,118,195,0.5188473382439173,0.06122398591278224,22.346754858165518
010303,AMAZONAS,BONGARA,CHURUJA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,298,287,11,0.52,0.14924,54.47260000000001
010304,AMAZONAS,BONGARA,COROSHA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,835,79,756,0.5188473382439173,0.04098893972126947,14.960962998263357
010305,AMAZONAS,BONGARA,CUISPES,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,662,359,303,0.5188473382439173,0.1862661944295663,67.98716096679169
010306,AMAZONAS,BONGARA,FLORIDA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,6353,3763,2590,0.28,1.0536400000000001,384.57860000000005
010307,AMAZONAS,BONGARA,JAZAN,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,7774,6493,1281,0.2,1.2986000000000002,473.9890000000001
010308,AMAZONAS,BONGARA,RECTA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,216,61,155,0.5188473382439173,0.03164968763287895,11.552135986000819
010309,AMAZONAS,BONGARA,SAN CARLOS,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,579,414,165,0.58,0.24011999999999997,87.64379999999998
010310,AMAZONAS,BONGARA,SHIPASBAMBA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,1716,879,837,0.38,0.33402,121.9173
010311,AMAZONAS,BONGARA,VALERA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,775,245,530,0.2,0.049,17.885
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,5645,2133,3512,0.23,0.49059,179.06535000000002
010401,AMAZONAS,CONDORCANQUI,NIEVA,SELVA,PROVINCIAL,Selva con Población urbana de hasta 10 mil habitantes,20264,4178,16086,0.57,2.3814599999999997,869.2328999999999
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,13122,1208,11914,0.5188473382439173,0.6267675845986521,228.77016837850803
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,18696,2501,16195,0.5188473382439173,1.2976371929480373,473.6375754260336
010501,AMAZONAS,LUYA,LAMUD,SIERRA,PROVINCIAL,Sierra con Población urbana de hasta 10 mil habitantes,2345,2078,267,0.52,1.08056,394.4044
010502,AMAZONAS,LUYA,CAMPORREDONDO,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,7644,4656,2988,0.5188473382439173,2.4157532068636787,881.7499205052427
010503,AMAZONAS,LUYA,COCABAMBA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,1983,336,1647,0.5188473382439173,0.1743327056499562,63.63143756223401
010504,AMAZONAS,LUYA,COLCAMAR,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,1838,1157,681,0.4452923055521492,0.5152031975238366,188.04916709620036
010505,AMAZONAS,LUYA,CONILA,SELVA,DISTRITAL,Selva con Población urbana de hasta 10 mil habitantes,1875,1040,835,0.25,0.26,94.9
010506,AMAZONAS,LUYA,INGUILPATA,SIERRA,DISTRITAL,Sierra con Población urbana de hasta 10 mil habitantes,451,302,149,0.4452923055521492,0.13447827627674905,49.0845708410134
